date,product_category,sales,quantity,price,customer_segment,region
2024-01-15,Electronics,12500.50,25,500.02,Premium,North
2024-01-16,Clothing,8500.75,50,170.02,Standard,South
2024-01-17,Electronics,18900.00,30,630.00,Premium,East
2024-01-18,Food,3200.25,80,40.00,Standard,West
2024-01-19,Electronics,15200.30,28,542.87,Premium,North
2024-01-20,Clothing,11200.60,65,172.32,Standard,South
2024-01-21,Food,2800.10,70,40.00,Standard,East
2024-01-22,Electronics,21800.90,35,622.88,Premium,West
2024-01-23,Clothing,9500.40,55,172.73,Standard,North
2024-01-24,Food,4100.50,95,43.16,Standard,South
2024-01-25,Electronics,16700.20,32,521.88,Premium,East
2024-01-26,Clothing,13200.80,75,176.01,Standard,West
2024-01-27,Food,3800.30,85,44.71,Standard,North
2024-01-28,Electronics,19900.60,38,523.70,Premium,South
2024-01-29,Clothing,10800.90,62,174.21,Standard,East
2024-01-30,Food,3500.70,88,39.78,Standard,West
2024-02-01,Electronics,14300.40,27,530.39,Premium,North
2024-02-02,Clothing,8900.20,52,171.16,Standard,South
2024-02-03,Food,3000.80,75,40.01,Standard,East
2024-02-04,Electronics,22700.10,40,567.50,Premium,West
2024-02-05,Clothing,11900.30,68,175.00,Standard,North
2024-02-06,Food,3900.60,92,42.40,Standard,South
2024-02-07,Electronics,17500.70,33,530.32,Premium,East
2024-02-08,Clothing,10400.50,60,173.34,Standard,West
2024-02-09,Food,4200.90,98,42.87,Standard,North
2024-02-10,Electronics,21100.80,37,570.29,Premium,South
2024-02-11,Clothing,12600.60,72,175.01,Standard,East
2024-02-12,Food,3600.20,85,42.36,Standard,West
2024-02-13,Electronics,19100.50,36,530.57,Premium,North
2024-02-14,Clothing,13700.40,78,175.65,Standard,South
2024-02-15,Food,4400.70,105,41.91,Standard,East
2024-02-16,Electronics,20300.20,39,520.52,Premium,West
2024-02-17,Clothing,11500.80,66,174.25,Standard,North
2024-02-18,Food,3700.40,88,42.05,Standard,South
2024-02-19,Electronics,17900.90,34,526.50,Premium,East
2024-02-20,Clothing,9800.30,56,175.01,Standard,West

